Decryption Results:
Crumb 5: 0
Crumb 17: 0
Crumb 18: 0
Crumb 20: 0
Crumb 29: 0
Crumb 30: 0
Crumb 32: 0
Crumb 33: 0
Crumb 37: 0
Crumb 45: 0
Crumb 46: 0
Crumb 48: 0
Crumb 50: 0
Crumb 62: 0
Crumb 66: 0
Crumb 73: 0
Crumb 74: 0
Crumb 76: 0
Crumb 85: 0
Crumb 86: 0
Crumb 88: 0
Crumb 89: 0
Crumb 102: 0
Crumb 109: 0
Crumb 110: 0
Crumb 112: 0
Crumb 129: 0
Crumb 134: 0
Crumb 140: 0
Crumb 144: 0
Crumb 148: 0
Crumb 6: 2
Crumb 7: 2
Crumb 11: 2
Crumb 13: 2
Crumb 15: 2
Crumb 19: 2
Crumb 22: 2
Crumb 23: 2
Crumb 25: 2
Crumb 27: 2
Crumb 31: 2
Crumb 38: 2
Crumb 39: 2
Crumb 43: 2
Crumb 47: 2
Crumb 51: 2
Crumb 55: 2
Crumb 61: 2
Crumb 71: 2
Crumb 75: 2
Crumb 79: 2
Crumb 81: 2
Crumb 83: 2
Crumb 87: 2
Crumb 90: 2
Crumb 91: 2
Crumb 99: 2
Crumb 103: 2
Crumb 105: 2
Crumb 107: 2
Crumb 111: 2
Crumb 115: 2
Crumb 117: 2
Crumb 123: 2
Crumb 125: 2
Crumb 127: 2
Crumb 137: 2
Crumb 139: 2
Crumb 141: 2
Crumb 143: 2
Crumb 145: 2
Crumb 147: 2
Crumb 2: 1
Crumb 3: 1
Crumb 4: 1
Crumb 8: 1
Crumb 9: 1
Crumb 10: 1
Crumb 12: 1
Crumb 16: 1
Crumb 21: 1
Crumb 24: 1
Crumb 28: 1
Crumb 34: 1
Crumb 36: 1
Crumb 40: 1
Crumb 41: 1
Crumb 42: 1
Crumb 44: 1
Crumb 52: 1
Crumb 56: 1
Crumb 57: 1
Crumb 58: 1
Crumb 60: 1
Crumb 64: 1
Crumb 68: 1
Crumb 69: 1
Crumb 70: 1
Crumb 72: 1
Crumb 80: 1
Crumb 82: 1
Crumb 84: 1
Crumb 92: 1
Crumb 93: 1
Crumb 94: 1
Crumb 96: 1
Crumb 97: 1
Crumb 100: 1
Crumb 101: 1
Crumb 104: 1
Crumb 108: 1
Crumb 113: 1
Crumb 114: 1
Crumb 116: 1
Crumb 118: 1
Crumb 120: 1
Crumb 121: 1
Crumb 122: 1
Crumb 124: 1
Crumb 128: 1
Crumb 130: 1
Crumb 132: 1
Crumb 136: 1
Crumb 1: 3
Crumb 14: 3
Crumb 26: 3
Crumb 35: 3
Crumb 49: 3
Crumb 53: 3
Crumb 54: 3
Crumb 59: 3
Crumb 63: 3
Crumb 65: 3
Crumb 67: 3
Crumb 77: 3
Crumb 78: 3
Crumb 95: 3
Crumb 98: 3
Crumb 106: 3
Crumb 119: 3
Crumb 126: 3
Crumb 131: 3
Crumb 133: 3
Crumb 135: 3
Crumb 138: 3
Crumb 142: 3
Crumb 146: 3
